cavalier	cavalier	n.	m.			false
cave	cave	n.	f.			false
caverne	caverne	n.	f.			false
cavité	cavité	n.	f.			false
ce	ce	dét.				false
ce	ce	pron.				false
ceci	ceci	pron.				false
céder	céder	v.				false
ceinture	ceinture	n.	f.			false
cela	cela	pron.				false
célébration	célébration	n.	f.			false
célèbre	célèbre	adj.				false
célébrité	célébrité	n.	f.			false
célibataire	célibataire	n.	m.			false
celui	celui	pron.				false
celui-ci	celui-ci	pron.				false
celui-là	celui-là	pron.				false
cendre	cendre	n.	f.			false
censure	censure	n.	f.			false
cent	cent	n.	m.			false
cent	cent	dét.				false
centaine	centaine	n.	f.			false
centenaire	centenaire	n.	m.			false
centimètre	centimètre	n.	m.			false
centralisation	centralisation	n.	f.			false
centre	centre	n.	m.			false
cependant	cependant	adv.				false
cercle	cercle	n.	m.			false
cercueil	cercueil	n.	m.			false
céréale	céréale	n.	f.			false
cérémonie	cérémonie	n.	f.			false
cerf	cerf	n.	m.			false
certain	certain	adj.				false
certainement	certainement	adv.				false
certitude	certitude	n.	f.			false
cerveau	cerveau	n.	m.			false
cervelle	cervelle	n.	f.			false
cesser	cesser	v.				false
chacun	chacun	pron.				false
chagrin	chagrin	n.	m.			false
chahut	chahut	n.	m.			false
chaine	chaine	n.	f.			true
chaîne	chaîne	n.	f.			false
chair	chair	n.	f.			false
chaise	chaise	n.	f.			false
chalet	chalet	n.	m.			false
chaleur	chaleur	n.	f.			false
chambre	chambre	n.	f.			false
champ	champ	n.	m.			false
champignon	champignon	n.	m.			false
champion	champion	n.	m.			false
championnat	championnat	n.	m.			false
chance	chance	n.	f.			false
chanceux	chanceux	adj.				false
chandail	chandail	n.	m.			false
chandelle	chandelle	n.	f.			false
changement	changement	n.	m.			false
changer	changer	v.				false
chanson	chanson	n.	f.			false
chant	chant	n.	m.			false
chantage	chantage	n.	m.			false
chanter	chanter	v.				false
chanteur	chanteur	n.	m.			false
chantier	chantier	n.	m.			false
chaos	chaos	n.	m.			false
chapeau	chapeau	n.	m.			false
chapelle	chapelle	n.	f.			false
chapitre	chapitre	n.	m.			false
chaque	chaque	dét.				false
charbon	charbon	n.	m.			false
charge	charge	n.	f.			false
chargement	chargement	n.	m.			false
charger	charger	v.				false
charisme	charisme	n.	m.			false
charité	charité	n.	f.			false
charme	charme	n.	m.			false
charmer	charmer	v.				false
chasse	chasse	n.	f.			false
chasser	chasser	v.				false
chasseur	chasseur	n.	m.			false
chat	chat	n.	m.			false
châtain	châtain	adj.				false
château	château	n.	m.			false
châtiment	châtiment	n.	m.			false
chaud	chaud	adj.				false
chauffage	chauffage	n.	m.			false
chaussée	chaussée	n.	f.			false
chaussette	chaussette	n.	f.			false
chaussure	chaussure	n.	f.			false
chef	chef	n.	m.			false
chef-d'oeuvre	chef-d'oeuvre	n.	m.			false
chemin	chemin	n.	m.			false
cheminée	cheminée	n.	f.			false
cheminement	cheminement	n.	m.			false
chemise	chemise	n.	f.			false
chêne	chêne	n.	m.			false
chèque	chèque	n.	m.			false
cher	cher	adj.				false
chercher	chercher	v.				false
chercheur	chercheur	n.	m.			false
cheval	cheval	n.	m.			false
chevelure	chevelure	n.	f.			false
cheveu	cheveu	n.	m.			false
cheville	cheville	n.	f.			false
chevreuil	chevreuil	n.	m.			false
chez	chez	prép.				false
chicane	chicane	n.	f.			false
chien	chien	n.	m.			false
chiffon	chiffon	n.	m.			false
chiffre	chiffre	n.	m.			false
chignon	chignon	n.	m.			false
chimie	chimie	n.	f.			false
chirurgie	chirurgie	n.	f.			false
chirurgien	chirurgien	n.	m.			false
choc	choc	n.	m.			false
chocolat	chocolat	n.	m.			false
choisir	choisir	v.				false
choix	choix	n.	m.			false
chômage	chômage	n.	m.			false
chorale	chorale	n.	f.			false
chorégraphie	chorégraphie	n.	f.			false
chose	chose	n.	f.			false
chronique	chronique	n.	f.			false
chronologie	chronologie	n.	f.			false
chuchotement	chuchotement	n.	m.			false
chuchoter	chuchoter	v.				false
chute	chute	n.	f.			false
cible	cible	n.	f.			false
cicatrice	cicatrice	n.	f.			false
ciel	ciel	n.	m.			false
cigare	cigare	n.	m.			false
cil	cil	n.	m.			false
cime	cime	n.	f.			false
ciment	ciment	n.	m.			false
cimetière	cimetière	n.	m.			false
cinéaste	cinéaste	n.	m.			false
cinéma	cinéma	n.	m.			false
cinq	cinq	dét.				false
cinquante	cinquante	dét.				false
circonstance	circonstance	n.	f.			false
circulation	circulation	n.	f.			false
cire	cire	n.	f.			false
cirque	cirque	n.	m.			false
ciseaux	ciseaux	n.	m.	pl.		false
citation	citation	n.	f.			false
cité	cité	n.	f.			false
citoyen	citoyen	n.	m.			false
citoyenneté	citoyenneté	n.	f.			false
civilisation	civilisation	n.	f.			false
civisme	civisme	n.	m.			false
clair	clair	adj.				false
clairement	clairement	adv.				false
clairière	clairière	n.	f.			false
clairvoyance	clairvoyance	n.	f.			false
clameur	clameur	n.	f.			false
