supraconduction	sypʀɑkɔ̃dyksjɔ̃	supraconduction.ad
à la tempéra	alatɑ̃peʀɑ	a_tempera_ou_à_la_tempera.ad
ab absurdo	abapsyʀdo	ab_absurdo.ad
ab intestat	abɛ̃tɛstɑ	ab_intestat.ad
ab irato	abiʀato	ab_irato.ad
abaca	abakɑ	abaca.ad
abaissable	abɛsabl	abaissable.ad
abaissant	abɛsɑ̃	abaissant.ad
abaissante	abɛsɑ̃t	abaissant.ad
abaisse-langue	abɛ:slɑ̃g	abaisse-langue.ad
abaisse	abɛ:s	abaisse.ad
abaissement	abɛsmɑ̃	abaissement.ad
abaisser	abɛse	abaisser.ad
abaisseur	abɛsœʀ	abaisseur.ad
abaisseuse	abɛsøz	abaisseur.ad
abajoue	abaʒu	abajoue.ad
abandon	abɑ̃dɔ̃	abandon.ad
abandonner	abɑ̃dɔne	abandonner.ad
abaque	abak	abaque.ad
abasourdir	abazuʀdiʀ	abasourdir.ad
abasourdissant	abazuʀdisɑ̃	abasourdissant.ad
abasourdissante	abazuʀdisɑ̃t	abasourdissant.ad
abasourdissement	abazuʀdismɑ̃	abasourdissement.ad
abat-jour	abɑʒuʀ	abat-jour.ad
abat-son	abɑsɔ̃	abat-son.ad
abat-vent	abɑvɑ̃	abat-vent.ad
abat-voix	abɑvwa	abat-voix.ad
abat	abɑ	abat.ad
abattable	abatabl	abattable.ad
abattage	abataʒ	abattage_ou_abatage.ad
abatage	abataʒ	abattage_ou_abatage.ad
abattant	abatɑ̃	abattant_ou_abatant.ad
abatant	abatɑ̃	abattant_ou_abatant.ad
abattement	abatmɑ̃	abattement.ad
abatteur	abatœʀ	abatteur.ad
abatteuse	abatøz	abatteur.ad
abattis	abati	abattis_ou_abatis.ad
abatis	abati	abattis_ou_abatis.ad
abattoir	abatwɑʀ	abattoir.ad
abattre	abatʀ	abattre.ad
abattu	abaty	abattu.ad
abattue	abaty	abattu.ad
abattée	abate	abattée_ou_abatée.ad
abatée	abate	abattée_ou_abatée.ad
abbasside	abasid	abbasside.ad
abbatial	abasjal	abbatial.ad
abbatiale	abasjal	abbatial.ad
abbaye	abɛi	abbaye.ad
abbé	abe	abbé.ad
abbesse	abɛs	abbé.ad
abc	ɑbese	abc_ou_a_b_c.ad
a b c	ɑbese	abc_ou_a_b_c.ad
abcès	apsɛ	abcès.ad
abdication	abdikasjɔ̃	abdication.ad
abdiquer	abdike	abdiquer.ad
abdomen	abdɔmɛn	abdomen.ad
abdominal	abdɔminal	abdominal.ad
abdominale	abdɔminal	abdominal.ad
abducteur	abdyktœʀ	abducteur.ad
abduction	abdyksjɔ̃	abduction.ad
abeille	abɛj	abeille.ad
aberrance	abɛʀɑ̃s	aberrance.ad
aberrant	abɛʀɑ̃	aberrant.ad
aberrante	abɛʀɑ̃t	aberrant.ad
aberration	abɛʀasjɔ̃	aberration.ad
abhorrer	abɔʀe	abhorrer.ad
abiogenèse	abioʒə̠nɛz	abiogenèse.ad
